amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,
โนนสูง,นครราชสีมา,24.33,11.18,11.33,55.26,366,15.212,102.276,Moderate,#ffff00,โนนสูง|นครราชสีมา
คลองหาด,สระแก้ว,20.64,9.91,9.18,50.22,366,13.477,102.277,Moderate,#ffff00,คลองหาด|สระแก้ว
เฉลิมพระเกียรติ,นครราชสีมา,24.88,11.12,12.32,55.89,366,14.98,102.291,Moderate,#ffff00,เฉลิมพระเกียรติ|นครราชสีมา
คง,นครราชสีมา,23.88,11.53,10.24,54.19,366,15.434,102.294,Moderate,#ffff00,คง|นครราชสีมา
ขลุง,จันทบุรี,17.69,8.02,6.99,39.78,366,12.54,102.298,Moderate,#ffff00,ขลุง|จันทบุรี
เกาะช้าง,ตราด,18.21,8.09,7.95,41.37,366,12.047,102.338,Moderate,#ffff00,เกาะช้าง|ตราด
บ้านแท่น,ชัยภูมิ,24.98,12.69,10.5,52.71,366,16.38,102.347,Moderate,#ffff00,บ้านแท่น|ชัยภูมิ
วัฒนานคร,สระแก้ว,20.45,10.36,8.57,51.02,366,13.893,102.361,Moderate,#ffff00,วัฒนานคร|สระแก้ว
แหลมงอบ,ตราด,17.18,7.82,7.14,40.68,366,12.221,102.365,Moderate,#ffff00,แหลมงอบ|ตราด
โป่งน้ำร้อน,จันทบุรี,19.89,8.83,8.88,45.93,366,12.939,102.369,Moderate,#ffff00,โป่งน้ำร้อน|จันทบุรี
บัวใหญ่,นครราชสีมา,23.8,11.83,9.79,54.66,366,15.589,102.379,Moderate,#ffff00,บัวใหญ่|นครราชสีมา
แวงน้อย,ขอนแก่น,23.95,12.16,9.61,56.96,366,15.809,102.414,Moderate,#ffff00,แวงน้อย|ขอนแก่น
เขาสมิง,ตราด,17.74,7.97,7.53,40.8,366,12.437,102.416,Moderate,#ffff00,เขาสมิง|ตราด
โพธิ์ตาก,หนองคาย,25.71,15.64,8.14,73.61,366,17.89,102.428,Unhealthy for Sensitive,#ff7e00,โพธิ์ตาก|หนองคาย
จักราช,นครราชสีมา,23.81,11.04,10.96,55.79,366,14.951,102.44,Moderate,#ffff00,จักราช|นครราชสีมา
หนองเรือ,ขอนแก่น,25.35,12.77,10.77,52.67,366,16.494,102.445,Unhealthy for Sensitive,#ff7e00,หนองเรือ|ขอนแก่น
