amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,Unnamed: 11,longitude_original,latitude_original
พยุหะคีรี,นครสวรรค์,26.11,13.55,9.85,60.41,366,11.818024084394908,102.48080635928788,Unhealthy for Sensitive,#ff7e00,พยุหะคีรี|นครสวรรค์,11408111.18,1325005.331
ระแงะ,นราธิวาส,14.76,3.35,9.12,24.3,366,11.817346436105455,102.3966314323885,Moderate,#ffff00,ระแงะ|นราธิวาส,11398740.87,1324928.262
ตากใบ,นราธิวาส,14.9,3.48,9.22,24.65,366,11.815159334133972,102.3973178350971,Moderate,#ffff00,ตากใบ|นราธิวาส,11398817.28,1324679.524
บางบัวทอง,นนทบุรี,23.26,9.87,10.56,52.95,366,11.810335237909191,102.37584738115441,Moderate,#ffff00,บางบัวทอง|นนทบุรี,11396427.2,1324130.889
ไทรน้อย,นนทบุรี,23.42,9.95,10.7,53.42,366,11.80821229562938,102.37750324571762,Moderate,#ffff00,ไทรน้อย|นนทบุรี,11396611.53,1323889.454
เมืองนนทบุรี,นนทบุรี,22.04,9.91,9.5,51.97,366,11.807227885314134,102.4541556804278,Moderate,#ffff00,เมืองนนทบุรี|นนทบุรี,11405144.44,1323777.501
ยี่งอ,นราธิวาส,14.65,3.38,8.76,24.35,366,11.80519612151882,102.37626123500581,Moderate,#ffff00,ยี่งอ|นราธิวาส,11396473.27,1323546.438
ชุมตาบง,นครสวรรค์,25.38,13.36,9.76,56.85,366,11.798519780511432,102.45061497073544,Unhealthy for Sensitive,#ff7e00,ชุมตาบง|นครสวรรค์,11404750.29,1322787.181
ลาดยาว,นครสวรรค์,25.38,13.4,9.58,56.83,366,11.796139107891127,102.38605538688552,Unhealthy for Sensitive,#ff7e00,ลาดยาว|นครสวรรค์,11397563.55,1322516.447
แม่เปิน,นครสวรรค์,25.21,13.4,9.64,57.52,366,11.774259130594015,102.39196603196044,Unhealthy for Sensitive,#ff7e00,แม่เปิน|นครสวรรค์,11398221.52,1320028.33
แม่วงก์,นครสวรรค์,25.34,13.89,9.39,59.21,366,11.718524295944349,102.5194739813667,Unhealthy for Sensitive,#ff7e00,แม่วงก์|นครสวรรค์,11412415.64,1313691.247
ไพศาลี,นครสวรรค์,25.06,12.28,10.35,55.45,366,11.657329336838119,102.56687547379535,Hazardous,#7e0023,ไพศาลี|นครสวรรค์,11417692.35,1306734.817
